name,album,artist,release_date,length,popularity,spotify_url
"Bangle Bangari (From ""Ekka"")","Bangle Bangari (From ""Ekka"")",Anthony Daasan,2025-06-07,264004,66,https://open.spotify.com/track/5pev9XrM5pNdpgSa1gTkGc
"Dwapara (From ""Krishnam Pranaya Sakhi"")",Krishnam Pranaya Sakhi (Original Motion Picture Soundtrack),Arjun Janya,2024-08-15,283604,32,https://open.spotify.com/track/0R3ZBulbLPYhrxqR5Usspe
"Hithalaka Karibyada Maava (From ""Karataka Damanaka"")","Hithalaka Karibyada Maava (From ""Karataka Damanaka"")",Malu Nipanal Singer,2024-03-01,206206,32,https://open.spotify.com/track/2MMfYFIcxu0CbLVdsqFI7k
"Mungaru Maleyalli - From ""Andondittu Kaala""","Mungaru Maleyalli (From ""Andondittu Kaala"")",Sid Sriram,2025-01-22,220933,62,https://open.spotify.com/track/5jXdW5vBjwKr76oBprssJQ
"Mayavi (From ""Bhoomi 2024"")","Mayavi (From ""Bhoomi 2024"")",Sonu Nigam,2024-11-06,258750,62,https://open.spotify.com/track/5FpUYrZWcFcuQMX4lDQqrf
"Onam Mood (From ""Sahasam"")","Onam Mood (From ""Sahasam"")",Bibin Ashok,2025-07-04,184800,64,https://open.spotify.com/track/3ayM2UERJjqknotVSPgJ0S
"Parichayavade (From ""Bagheera"")","Parichayavade (From ""Bagheera"")",B. Ajaneesh Loknath,2024-10-25,214077,57,https://open.spotify.com/track/5vjjIo4GyFAIMUChWcUaSl
"Mellage (from ""Swathi Mutthina Male Haniye"")",Swathi Mutthina Male Haniye (Original Motion Picture Soundtrack),Midhun Mukundan,2024-07-17,277635,26,https://open.spotify.com/track/6oLhJtwPmbFILALbk4afKx
"BRAT Theory (From""BRAT"")","BRAT Theory (From""BRAT"")",Rahul Dit-O,2025-03-28,160535,24,https://open.spotify.com/track/0KA7zlR1V9kHcWz411zPx6
Beauty Benkaiti,Beauty Benkaiti,Karibasava Tadakal,2024-02-08,177449,50,https://open.spotify.com/track/2z0xqPUYl0LxHu8zEWahgI
Nange Allava,Nange Allava,Sanjith Hegde,2024-06-25,223953,59,https://open.spotify.com/track/0nqm1P0AJBaQn1mhhloB9j
"Kavithe Kavithe (From ""Yuva"")","Kavithe Kavithe (From ""Yuva"")",Sanjith Hegde,2024-03-09,214617,34,https://open.spotify.com/track/51JkjupL5rHz5jGDwlWCad
Nanage Neenu,Upadhyaksha (Original Motion Picture Soundtrack),Vijay Prakash,2023-11-01,219074,37,https://open.spotify.com/track/0aouyG3UrHLmbRjgzN7OKZ
"Singara Siriye (From ""Kantara"")",Kantara (Original Motion Picture Soundtrack),B. Ajaneesh Loknath,2022-09-30,281917,59,https://open.spotify.com/track/4HAMxrVD1Sfb88Mn7l9mSx
"Kadalanu (From ""Sapta Sagaradaache Ello - Side A"")","Kadalanu (From ""Sapta Sagaradaache Ello - Side A"")",Charanraj MR,2023-09-11,104851,59,https://open.spotify.com/track/6cGZf9UTMBQdjCrzFmigZ3
"Pardesiya - From ""Param Sundari""","Pardesiya (From ""Param Sundari"")",Sachin-Jigar,2025-07-30,231739,82,https://open.spotify.com/track/0q84FggW57NXGtLHoetS0Y
"Sapta Sagaradaache Ello - Side A Title Track (From ""Sapta Sagaradaache Ello - Side A"")","Sapta Sagaradaache Ello - Side A Title Track (From ""Sapta Sagaradaache Ello - Side A"")",Charanraj MR,2023-08-08,255643,56,https://open.spotify.com/track/5GLFyqAmbNRSh0or6QJV1d
Neenu Bagehariyada Haadu,Gaalipata 2,Arjun Janya,2022-08-12,247796,22,https://open.spotify.com/track/21YG9ZBQzOGynkhqouiYtk
"BOYS SARIGILLA - From ""Hostel Hudugaru Bekagiddare""","BOYS SARIGILLA (From ""Hostel Hudugaru Bekagiddare"")",B. Ajaneesh Loknath,2023-07-20,180405,41,https://open.spotify.com/track/7rfPcV4f8Ew7cPi0Mo03Gx
Marali Manasaagide,Gentleman,B. Ajaneesh Loknath,2019-12-18,181508,39,https://open.spotify.com/track/4UkvBMDO1BEHK2NFwm2RSp
Yenammi Yenammi,Ayogya,Sathish Ninasam,2018-07-09,219535,21,https://open.spotify.com/track/4x6WjZtYS8G6ctKQTJ2Ie5
Aane Maadi Heluteeni,2022 AAV Million Club - Super Hit Song,Arjun Janya,2022-12-28,265984,29,https://open.spotify.com/track/6nlSkbZbJF3CD7seH6GICK
"Yaare Yaare - From ""Ek Love Ya""","Yaare Yaare (From ""Ek Love Ya"")",Armaan Malik,2021-02-14,202335,58,https://open.spotify.com/track/1pU28oxaYYS6e24j1YVqHV
"Bheegi Saree - From ""Param Sundari""","Bheegi Saree (From ""Param Sundari"")",Sachin-Jigar,2025-08-08,202864,70,https://open.spotify.com/track/3z47FzesU0MyJKwpCGxOMp
"Oh Anahita (From ""Ibbani Tabbida Ileyali"")","Oh Anahita (From ""Ibbani Tabbida Ileyali"")",Chandrajith Belliappa,2024-06-21,332000,51,https://open.spotify.com/track/1t0v6QWwA5eRaXSBJ1UaAn
"Preethisuve (From ""Kousalya Supraja Rama"")","Preethisuve (From ""Kousalya Supraja Rama"")",Arjun Janya,2023-05-19,238080,53,https://open.spotify.com/track/4NwqQ4DKeqBSPp03tBqfYR
Pataki Poriyo,Kotigobba 3,Arjun Janya,2022-06-10,216857,20,https://open.spotify.com/track/7jMrl8vYhPxRjh30qMfkdS
Ninna Gungalli,Ninna Gungalli,Adhvik,2019-02-16,195000,59,https://open.spotify.com/track/7x5TjoSag3Q3EwLRyrlxrT
Hostel Hudugaru Protest Song,Hostel Hudugaru Bekagiddare (Original Motion Picture Soundtrack),B. Ajaneesh Loknath,2023-07-27,247125,47,https://open.spotify.com/track/0EmwGgP7UAyWjtalVLdciE
Naanaadada Maathellava,Golden Star Ganesh - Top 100 Songs,Golden Star Ganesh,2022-07-06,257488,16,https://open.spotify.com/track/6lrxLE9FXbMZCGcS5fM3PW
Tick Tick Tick,The Villain,Shivarajkumar,2018-12-20,230286,17,https://open.spotify.com/track/4a2oIwCmqXSQIg9inwgW7l
"Tiningaa Miningaa Tishaaaa - From ""Salaga""","Tiningaa Miningaa Tishaaaa (From ""Salaga"")",Girija Siddi,2021-08-05,179166,45,https://open.spotify.com/track/4MkrAp0lUa5q31TccHZTtV
Tagaru Banthu Tagaru,Tagaru (Original Motion Picture Soundtrack),Charanraj MR,2018-06-04,207500,58,https://open.spotify.com/track/0mtxZjtOzm3mke47VLVoyb
Hands Up,Avane Srimannarayana (Kannada) (Original Motion Picture Soundtrack),B. Ajaneesh Loknath,2019-12-12,229803,56,https://open.spotify.com/track/1ytmXPkreudXoBWIFV7df1
Onde Aetige,Amar,Arjun Janya,2019-04-06,242241,16,https://open.spotify.com/track/3aY67CXfD9nx2BEJd4VGEs
Aakashane Adarisuva,Kotigobba 3,Arjun Janya,2022-06-10,215600,16,https://open.spotify.com/track/7Km7mcIrFDpqVHEHG5TS4I
O Sukumaariye,Abbara,Ravi Basrur,2022-11-17,205308,8,https://open.spotify.com/track/42laW7JX3LASucSsC1qsDp
Dostha Kano,Roberrt,Arjun Janya,2021-03-20,243700,30,https://open.spotify.com/track/4qAs1JB2dx9MewzhVCWu9Q
Nannavale Nannavale,Inspector Vikram,J. Anoop Seelin,2019,304914,20,https://open.spotify.com/track/2WBLWIe4cUi1sIhFQ6y3lj
Yethake Bogase Thumba,Bell Bottom (Original Motion Picture Soundtrack),B. Ajaneesh Loknath,2019-02-14,239226,56,https://open.spotify.com/track/3rjojARbZmPgSgLu4Crfkx
Hrudayake Hedarike,Thayige Thakka Maga,Krishna Ajai Rao,2018-10-10,226976,36,https://open.spotify.com/track/0EHAiFwUat5Oi6LqgHs94o
Nee Sigoovaregu,Bhajarangi 2,Arjun Janya,2021-10-26,200999,21,https://open.spotify.com/track/6srcJn3jIz0qq196AHFcQM
Kannu Hodiyaka,Roberrt,Arjun Janya,2021-03-20,226013,21,https://open.spotify.com/track/2ngdpYyozWxNNejdu7uCzp
Belageddu,Kirik Party (Original Motion Picture Soundtrack),B. Ajaneesh Loknath,2017-01-19,217220,59,https://open.spotify.com/track/33t67ioue8b1X553DUMulH
"Ondu Oorali - From ""Ek Love Ya""","Ondu Oorali (From ""Ek Love Ya"")",Shankar Mahadevan,2021-12-10,226800,54,https://open.spotify.com/track/0j18p3zXJr6x7UKaNfRLmq
"Maaya Gange (From ""Banaras"")","Maaya Gange (From ""Banaras"")",Armaan Malik,2022-06-27,275039,48,https://open.spotify.com/track/1kClo6kZ6085PTgUXcxQJU
Bhara Bhara Bharaate,Bharaate,Srimurali,2019-10-18,223231,14,https://open.spotify.com/track/5B2i2SKQJZseP81Fzn5KO0
Ondu Maathali,Padde Huli (Original Motion Picture Soundtrack),B. Ajaneesh Loknath,2019-02-16,205025,58,https://open.spotify.com/track/4loPmUMaah7N6pnDn5psSN
Kannmaniye,Pailwaan,Arjun Janya,2019-08-26,214189,54,https://open.spotify.com/track/5avL1rBiEgKVPL9McJOcOy
"Maleye Maleye - From ""Salaga""","Maleye Maleye (From ""Salaga"")",Sanjith Hegde,2020-09-05,246034,57,https://open.spotify.com/track/585GiLzVOyWincizmgXUBr
Kaaneyagiruve,Odeya,Darshan,2019-11-01,245596,26,https://open.spotify.com/track/2cZcxgMOhNcfWhgaG3f4Ii
Love Aagoythe Nin Myale,The Villain,Shivarajkumar,2018-12-20,275339,14,https://open.spotify.com/track/66Ha3N3GqEfaPgFWU7Xo7S
"Sunn Mere Yaar Ve - From ""Param Sundari""","Sunn Mere Yaar Ve (From ""Param Sundari"")",Sachin-Jigar,2025-08-17,192639,68,https://open.spotify.com/track/4aNDTU2GctEyflO4FsNAxk
Shaakuntle Sikkalu,Naduve Antaravirali (Original Motion Picture Soundtrack),Kadri Manikanth,2018-05-07,230000,57,https://open.spotify.com/track/2UASsVmSfrcuYkX8N1VxgA
Arere Avala Naguva,"Sarkari Hi. Pra. Shaale, Kasaragodu (Original Motion Picture Soundtrack)",Vasuki Vaibhav,2018-10-11,208615,60,https://open.spotify.com/track/0aSletLdXgDcFK5PuofMoP
Nee Kotiyali Obbane,Kotigobba 3,Arjun Janya,2022-06-10,223402,17,https://open.spotify.com/track/2DQfYfPd007QluWrNH4mCV
Innunu Bekagide,Mundina Nildana (Original Motion Picture Soundtrack),Jim Satya,2019-10-11,206988,61,https://open.spotify.com/track/2DbWGF1jEPXT1rI3gkk2Wz
Kavithe Kavithe,Yuva (Original Motion Picture Soundtrack),B. Ajaneesh Loknath,2024-03-29,214617,57,https://open.spotify.com/track/0z9eZLd0ZSpWWMQAGNyimb
"Danks Anthem (From ""Su From So"")","Danks Anthem (From ""Su From So"")",Sumedh K,2025-06-27,196588,59,https://open.spotify.com/track/0SvfW3OKWtOYRkZptWsuup
"Badli Si Hawa Hai (From ""The Ba***ds Of Bollywood"")","Badli Si Hawa Hai (From ""The Ba***ds Of Bollywood"")",Anirudh Ravichander,2025-08-23,241205,66,https://open.spotify.com/track/725XQXb7uj7EYSBFQdbq8d
"Bijuria (From ""Sunny Sanskari Ki Tulsi Kumari"")","Bijuria (From ""Sunny Sanskari Ki Tulsi Kumari"")",Sonu Nigam,2025-09-03,199071,46,https://open.spotify.com/track/2YRq6fQNSst2avCR6qhzSK
